timestamp,relative_time,pid,comm,uid,syscall,duration_us
7294.981759076,2.743674900,26107,dd,0,write,2751.278
7294.984743369,2.746659193,26107,dd,0,read,45.102
7294.984884476,2.746800300,26107,dd,0,write,2566.038
7294.987664583,2.749580407,26107,dd,0,read,41.975
7294.987790733,2.749706557,26107,dd,0,write,2083.531
7294.990080935,2.751996759,26107,dd,0,read,42.129
7294.990214695,2.752130519,26107,dd,0,write,2494.609
7294.992936741,2.754852565,26107,dd,0,read,41.731
7294.993170498,2.755086322,26107,dd,0,write,2877.988
7294.996262259,2.758178083,26107,dd,0,read,41.791
7294.996420823,2.758336647,26107,dd,0,write,2954.267
7294.999626051,2.761541875,26107,dd,0,read,44.779
7294.999759217,2.761675041,26107,dd,0,write,2080.433
7295.002195396,2.764111220,26107,dd,0,read,42.300
7295.002326068,2.764241892,26107,dd,0,write,2255.533
7295.004831866,2.766747690,26107,dd,0,read,43.178
7295.004967327,2.766883151,26107,dd,0,write,3842.105
7295.009186319,2.771102143,26107,dd,0,read,49.377
7295.009333335,2.771249159,26107,dd,0,write,1908.770
7295.011585835,2.773501659,26107,dd,0,read,226.762
7295.011924256,2.773840080,26107,dd,0,write,1501.053
7295.013676070,2.775591894,26107,dd,0,read,49.125
7295.014465439,2.776381263,26107,dd,0,write,2218.771
7295.016781608,2.778697432,26107,dd,0,read,46.694
7295.016942150,2.778857974,26107,dd,0,write,1983.402
7295.019148376,2.781064200,26107,dd,0,read,46.261
7295.019282612,2.781198436,26107,dd,0,write,1894.588
7295.021396814,2.783312638,26107,dd,0,read,45.561
7295.021529528,2.783445352,26107,dd,0,write,1344.363
7295.023091025,2.785006849,26107,dd,0,read,49.492
7295.023226805,2.785142629,26107,dd,0,write,1884.612
7295.025352019,2.787267843,26107,dd,0,read,43.146
7295.025481581,2.787397405,26107,dd,0,write,2106.725
7295.027795726,2.789711550,26107,dd,0,read,43.050
7295.027926662,2.789842486,26107,dd,0,write,3300.789
7295.031477678,2.793393502,26107,dd,0,read,47.410
7295.031616797,2.793532621,26107,dd,0,write,1890.956
7295.033731691,2.795647515,26107,dd,0,read,44.105
7295.033865849,2.795781673,26107,dd,0,write,2450.543
7295.036553593,2.798469417,26107,dd,0,read,46.107
7295.036688646,2.798604470,26107,dd,0,write,1950.133
7295.038857051,2.800772875,26107,dd,0,read,45.797
7295.038988827,2.800904651,26107,dd,0,write,1793.827
7295.041165364,2.803081188,26107,dd,0,read,43.444
7295.041299843,2.803215667,26107,dd,0,write,763.524
7295.042262145,2.804177969,26107,dd,0,read,43.549
7295.042410812,2.804326636,26107,dd,0,write,1220.141
7295.043830603,2.805746427,26107,dd,0,read,43.332
7295.043962010,2.805877834,26107,dd,0,write,2165.601
7295.046697822,2.808613646,26107,dd,0,read,211.872
7295.047337687,2.809253511,26107,dd,0,write,1299.456
7295.048863206,2.810779030,26107,dd,0,read,45.141
7295.048995611,2.810911435,26107,dd,0,write,970.374
7295.050177525,2.812093349,26107,dd,0,read,43.449
7295.050307863,2.812223687,26107,dd,0,write,1844.904
7295.052367612,2.814283436,26107,dd,0,read,44.464
7295.052498120,2.814413944,26107,dd,0,write,952.538
7295.053663310,2.815579134,26107,dd,0,read,44.155
7295.053801740,2.815717564,26107,dd,0,write,1974.990
7295.055991410,2.817907234,26107,dd,0,read,43.304
7295.056229867,2.818145691,26107,dd,0,write,696.175
