timestamp,relative_time,pid,comm,uid,syscall
4491.569774542,0.801010145,3014,gzip,0,read
4491.572714037,0.803949640,3014,gzip,0,read
4491.573647392,0.804882995,3014,gzip,0,write
4491.575630771,0.806866374,3014,gzip,0,read
4491.577330270,0.808565873,3014,gzip,0,read
4491.580435042,0.811670645,3014,gzip,0,read
4491.582678880,0.813914483,3014,gzip,0,read
4491.584600601,0.815836204,3014,gzip,0,read
4491.587593641,0.818829244,3014,gzip,0,read
4491.589650058,0.820885661,3014,gzip,0,read
4491.592281436,0.823517039,3014,gzip,0,read
4491.593728320,0.824963923,3014,gzip,0,write
4491.595503076,0.826738679,3014,gzip,0,read
4491.597887950,0.829123553,3014,gzip,0,read
4491.600583363,0.831818966,3014,gzip,0,read
4491.602593310,0.833828913,3014,gzip,0,read
4491.604381336,0.835616939,3014,gzip,0,read
4491.607463347,0.838698950,3014,gzip,0,read
4491.609510641,0.840746244,3014,gzip,0,read
4491.612642491,0.843878094,3014,gzip,0,read
4491.613610847,0.844846450,3014,gzip,0,write
4491.615249884,0.846485487,3014,gzip,0,read
4491.618013897,0.849249500,3014,gzip,0,read
4491.623910902,0.855146505,3014,gzip,0,read
4491.625548622,0.856784225,3014,gzip,0,read
4491.627401477,0.858637080,3014,gzip,0,read
4491.630503684,0.861739287,3014,gzip,0,read
4491.632376655,0.863612258,3014,gzip,0,read
4491.634314421,0.865550024,3014,gzip,0,read
4491.635589140,0.866824743,3014,gzip,0,write
4491.637688748,0.868924351,3014,gzip,0,read
4491.639323845,0.870559448,3014,gzip,0,read
4491.641378482,0.872614085,3014,gzip,0,read
4491.647081861,0.878317464,3014,gzip,0,read
4491.650249120,0.881484723,3014,gzip,0,read
4491.653486229,0.884721832,3014,gzip,0,read
4491.655325113,0.886560716,3014,gzip,0,read
4491.657590903,0.888826506,3014,gzip,0,read
4491.658617069,0.889852672,3014,gzip,0,write
4491.660440577,0.891676180,3014,gzip,0,read
4491.662537193,0.893772796,3014,gzip,0,read
4491.664788062,0.896023665,3014,gzip,0,read
4491.668012747,0.899248350,3014,gzip,0,read
4491.671516360,0.902751963,3014,gzip,0,read
4491.675843351,0.907078954,3014,gzip,0,read
4491.679738013,0.910973616,3014,gzip,0,read
4491.681747290,0.912982893,3014,gzip,0,read
4491.682616947,0.913852550,3014,gzip,0,write
4491.684228405,0.915464008,3014,gzip,0,read
4491.687206351,0.918441954,3014,gzip,0,read
4491.690563273,0.921798876,3014,gzip,0,read
4491.692786151,0.924021754,3014,gzip,0,read
4491.696366382,0.927601985,3014,gzip,0,read
4491.699353330,0.930588933,3014,gzip,0,read
4491.701258178,0.932493781,3014,gzip,0,read
4491.705368306,0.936603909,3014,gzip,0,read
4491.706863518,0.938099121,3014,gzip,0,write
4491.708574382,0.939809985,3014,gzip,0,read
4491.711002485,0.942238088,3014,gzip,0,read
4491.713475551,0.944711154,3014,gzip,0,read
4491.740654040,0.971889643,3014,gzip,0,read
4491.742476964,0.973712567,3014,gzip,0,read
4491.744544476,0.975780079,3014,gzip,0,read
4491.747845010,0.979080613,3014,gzip,0,read
4491.750823838,0.982059441,3014,gzip,0,read
4491.752992257,0.984227860,3014,gzip,0,write
4491.754860545,0.986096148,3014,gzip,0,read
4491.757490930,0.988726533,3014,gzip,0,read
4491.759577101,0.990812704,3014,gzip,0,read
4491.762778919,0.994014522,3014,gzip,0,read
4491.764800773,0.996036376,3014,gzip,0,read
4491.768764075,0.999999678,3014,gzip,0,read
4491.771725336,1.002960939,3014,gzip,0,read
4491.774017229,1.005252832,3014,gzip,0,read
4491.775821766,1.007057369,3014,gzip,0,write
4491.777504773,1.008740376,3014,gzip,0,read
4491.780701538,1.011937141,3014,gzip,0,read
4491.782933599,1.014169202,3014,gzip,0,read
4491.785690854,1.016926457,3014,gzip,0,read
4491.789552113,1.020787716,3014,gzip,0,read
4491.792120425,1.023356028,3014,gzip,0,read
4491.794827231,1.026062834,3014,gzip,0,read
4491.797770506,1.029006109,3014,gzip,0,read
4491.799999078,1.031234681,3014,gzip,0,write
4491.802955714,1.034191317,3014,gzip,0,read
4491.806126139,1.037361742,3014,gzip,0,read
4491.809711677,1.040947280,3014,gzip,0,read
4491.811475095,1.042710698,3014,gzip,0,read
4491.814602146,1.045837749,3014,gzip,0,read
4491.817913897,1.049149500,3014,gzip,0,read
4491.820918724,1.052154327,3014,gzip,0,read
4491.823525708,1.054761311,3014,gzip,0,read
4491.824726718,1.055962321,3014,gzip,0,write
4491.827539866,1.058775469,3014,gzip,0,read
4491.829856149,1.061091752,3014,gzip,0,read
4491.832869417,1.064105020,3014,gzip,0,read
4491.836541407,1.067777010,3014,gzip,0,read
4491.838517039,1.069752642,3014,gzip,0,read
4491.842399804,1.073635407,3014,gzip,0,read
4491.845852271,1.077087874,3014,gzip,0,read
4491.848598715,1.079834318,3014,gzip,0,read
4491.850327742,1.081563345,3014,gzip,0,write
4491.854092201,1.085327804,3014,gzip,0,read
4491.856534256,1.087769859,3014,gzip,0,read
4491.859812666,1.091048269,3014,gzip,0,read
4491.862616597,1.093852200,3014,gzip,0,read
4491.865480233,1.096715836,3014,gzip,0,read
4491.871536196,1.102771799,3014,gzip,0,read
4491.874149603,1.105385206,3014,gzip,0,read
4491.880093056,1.111328659,3014,gzip,0,read
4491.881798673,1.113034276,3014,gzip,0,write
4491.883953603,1.115189206,3014,gzip,0,read
4491.886730720,1.117966323,3014,gzip,0,read
4491.889839876,1.121075479,3014,gzip,0,read
4491.893150371,1.124385974,3014,gzip,0,read
4491.897533699,1.128769302,3014,gzip,0,read
4491.900651500,1.131887103,3014,gzip,0,read
4491.902563868,1.133799471,3014,gzip,0,read
4491.906312595,1.137548198,3014,gzip,0,read
4491.908934870,1.140170473,3014,gzip,0,write
4491.910929425,1.142165028,3014,gzip,0,read
4491.913833045,1.145068648,3014,gzip,0,read
4491.918072668,1.149308271,3014,gzip,0,read
4491.922308955,1.153544558,3014,gzip,0,read
4491.928834830,1.160070433,3014,gzip,0,read
4491.931641107,1.162876710,3014,gzip,0,read
4491.933521950,1.164757553,3014,gzip,0,read
4491.937884913,1.169120516,3014,gzip,0,read
4491.939842693,1.171078296,3014,gzip,0,write
4491.942412629,1.173648232,3014,gzip,0,read
4491.946008236,1.177243839,3014,gzip,0,read
4491.948968623,1.180204226,3014,gzip,0,read
4491.951734942,1.182970545,3014,gzip,0,read
4491.953669697,1.184905300,3014,gzip,0,read
4491.955688706,1.186924309,3014,gzip,0,read
4491.958792466,1.190028069,3014,gzip,0,read
4491.962330845,1.193566448,3014,gzip,0,read
4491.964933879,1.196169482,3014,gzip,0,write
4491.966746845,1.197982448,3014,gzip,0,read
4491.968803925,1.200039528,3014,gzip,0,read
4491.972818044,1.204053647,3014,gzip,0,read
4491.975120565,1.206356168,3014,gzip,0,read
4491.979489789,1.210725392,3014,gzip,0,read
4491.984005420,1.215241023,3014,gzip,0,read
4491.986598539,1.217834142,3014,gzip,0,read
4491.988515463,1.219751066,3014,gzip,0,read
4491.990809137,1.222044740,3014,gzip,0,write
4491.992668341,1.223903944,3014,gzip,0,read
4491.996517894,1.227753497,3014,gzip,0,read
4492.001032837,1.232268440,3014,gzip,0,read
4492.004212184,1.235447787,3014,gzip,0,read
4492.008467111,1.239702714,3014,gzip,0,read
4492.011713076,1.242948679,3014,gzip,0,read
4492.014713026,1.245948629,3014,gzip,0,read
4492.017781465,1.249017068,3014,gzip,0,read
4492.020171811,1.251407414,3014,gzip,0,write
4492.023625064,1.254860667,3014,gzip,0,read
4492.025626700,1.256862303,3014,gzip,0,read
4492.027502020,1.258737623,3014,gzip,0,read
4492.030966628,1.262202231,3014,gzip,0,read
4492.034427993,1.265663596,3014,gzip,0,read
4492.038689722,1.269925325,3014,gzip,0,read
4492.042053026,1.273288629,3014,gzip,0,read
4492.045078881,1.276314484,3014,gzip,0,read
4492.046848253,1.278083856,3014,gzip,0,write
4492.050721470,1.281957073,3014,gzip,0,read
4492.054149898,1.285385501,3014,gzip,0,read
4492.057551452,1.288787055,3014,gzip,0,read
4492.060997035,1.292232638,3014,gzip,0,read
4492.065290804,1.296526407,3014,gzip,0,read
4492.067855451,1.299091054,3014,gzip,0,read
4492.071005694,1.302241297,3014,gzip,0,read
4492.076451163,1.307686766,3014,gzip,0,read
4492.080003666,1.311239269,3014,gzip,0,write
4492.082225466,1.313461069,3014,gzip,0,read
4492.087337074,1.318572677,3014,gzip,0,read
4492.091595754,1.322831357,3014,gzip,0,read
4492.096488698,1.327724301,3014,gzip,0,read
4492.099277772,1.330513375,3014,gzip,0,read
4492.102451978,1.333687581,3014,gzip,0,read
4492.105849018,1.337084621,3014,gzip,0,read
4492.108983884,1.340219487,3014,gzip,0,read
4492.110864543,1.342100146,3014,gzip,0,write
4492.112564704,1.343800307,3014,gzip,0,read
4492.115888448,1.347124051,3014,gzip,0,read
4492.120506112,1.351741715,3014,gzip,0,read
4492.123413711,1.354649314,3014,gzip,0,read
4492.126946043,1.358181646,3014,gzip,0,read
4492.130268822,1.361504425,3014,gzip,0,read
4492.136939944,1.368175547,3014,gzip,0,read
4492.139385459,1.370621062,3014,gzip,0,read
4492.140761218,1.371996821,3014,gzip,0,write
4492.143029146,1.374264749,3014,gzip,0,read
4492.146730359,1.377965962,3014,gzip,0,read
4492.148913446,1.380149049,3014,gzip,0,read
4492.152111853,1.383347456,3014,gzip,0,read
4492.157517049,1.388752652,3014,gzip,0,read
4492.159672656,1.390908259,3014,gzip,0,read
4492.161515579,1.392751182,3014,gzip,0,read
4492.163835903,1.395071506,3014,gzip,0,read
4492.165808339,1.397043942,3014,gzip,0,write
4492.167346235,1.398581838,3014,gzip,0,read
4492.169793826,1.401029429,3014,gzip,0,read
4492.172472939,1.403708542,3014,gzip,0,read
4492.175002552,1.406238155,3014,gzip,0,read
4492.179271508,1.410507111,3014,gzip,0,read
4492.186179867,1.417415470,3014,gzip,0,read
4492.190233333,1.421468936,3014,gzip,0,read
4492.192763536,1.423999139,3014,gzip,0,read
4492.194756850,1.425992453,3014,gzip,0,write
4492.196603208,1.427838811,3014,gzip,0,read
4492.198716245,1.429951848,3014,gzip,0,read
4492.201791040,1.433026643,3014,gzip,0,read
4492.204732810,1.435968413,3014,gzip,0,read
4492.208667479,1.439903082,3014,gzip,0,read
4492.210538758,1.441774361,3014,gzip,0,read
4492.212839884,1.444075487,3014,gzip,0,read
4492.215899737,1.447135340,3014,gzip,0,read
4492.218068655,1.449304258,3014,gzip,0,write
4492.221731937,1.452967540,3014,gzip,0,read
4492.225737057,1.456972660,3014,gzip,0,read
4492.231405890,1.462641493,3014,gzip,0,read
4492.236391677,1.467627280,3014,gzip,0,read
4492.239425601,1.470661204,3014,gzip,0,read
4492.241769228,1.473004831,3014,gzip,0,read
4492.243705536,1.474941139,3014,gzip,0,read
4492.247437336,1.478672939,3014,gzip,0,read
4492.250069476,1.481305079,3014,gzip,0,write
4492.254604173,1.485839776,3014,gzip,0,read
4492.256364882,1.487600485,3014,gzip,0,read
4492.258738589,1.489974192,3014,gzip,0,read
4492.261568621,1.492804224,3014,gzip,0,read
4492.264590478,1.495826081,3014,gzip,0,read
4492.269422592,1.500658195,3014,gzip,0,read
4492.273873105,1.505108708,3014,gzip,0,read
4492.276980688,1.508216291,3014,gzip,0,read
4492.278924157,1.510159760,3014,gzip,0,write
4492.281290215,1.512525818,3014,gzip,0,read
4492.283900391,1.515135994,3014,gzip,0,read
4492.286664982,1.517900585,3014,gzip,0,read
4492.289492350,1.520727953,3014,gzip,0,read
4492.291791327,1.523026930,3014,gzip,0,read
4492.294277814,1.525513417,3014,gzip,0,read
4492.296766400,1.528002003,3014,gzip,0,read
4492.299370464,1.530606067,3014,gzip,0,read
4492.301093454,1.532329057,3014,gzip,0,write
4492.303147662,1.534383265,3014,gzip,0,read
4492.305749106,1.536984709,3014,gzip,0,read
4492.307907156,1.539142759,3014,gzip,0,read
4492.310431923,1.541667526,3014,gzip,0,read
4492.313849489,1.545085092,3014,gzip,0,read
4492.316542480,1.547778083,3014,gzip,0,read
4492.318758575,1.549994178,3014,gzip,0,read
4492.322283572,1.553519175,3014,gzip,0,read
4492.322881339,1.554116942,3014,gzip,0,write
4492.324164345,1.555399948,3014,gzip,0,read
4492.327310255,1.558545858,3014,gzip,0,read
4492.331064719,1.562300322,3014,gzip,0,read
4492.333410576,1.564646179,3014,gzip,0,read
4492.336598823,1.567834426,3014,gzip,0,read
4492.338669632,1.569905235,3014,gzip,0,read
4492.341411231,1.572646834,3014,gzip,0,read
4492.343713387,1.574948990,3014,gzip,0,read
4492.345605225,1.576840828,3014,gzip,0,write
4492.347552953,1.578788556,3014,gzip,0,read
